time,water_area_km2,rainfall_mm,rainfall_3m_mm
2018-03-01,0.0004,500.4,
2018-06-01,0.0016,9.0,169.79999999999998
2018-09-01,0.0,0.0,4.533333333333333
2019-06-01,0.0008,4.6,2.533333333333333
2019-09-01,0.0004,3.0,9.799999999999999
2019-12-01,0.0008,21.8,120.93333333333334
2020-03-01,0.0028,338.0,123.26666666666667
2020-06-01,0.0008,10.0,116.73333333333333
2020-09-01,0.0,2.2,60.86666666666667
2020-12-01,0.0008,170.4,58.86666666666667
2021-06-01,0.0016,4.0,65.4
2022-06-01,0.0,21.8,10.200000000000001
2022-09-01,0.0,4.8,
